w_N,seed,F_best,N_exposed,L_total,R_N,R_L,topology,n_accepted,cum_acceptance,n_worse_accepted,last_improve_gen,runtime_s,success,timed_out,init_valid
0.8,11,0.420283,1734057,810.28,71.894,2.281,"((1,2),(3,(4,5)))",47,0.313333,22,148,556.7,True,False,True
0.8,12,0.399813,1411630,898.75,77.120,-8.387,"(1,(2,(3,(4,5))))",55,0.366667,20,145,479.3,True,False,True
0.8,13,0.418783,1741614,800.00,71.772,3.521,"((1,2),(3,(4,5)))",53,0.353333,19,72,520.3,True,False,True
0.8,14,0.423886,1657314,866.48,73.138,-4.495,"(1,((2,3),(4,5)))",37,0.246667,10,106,558.8,True,False,True
0.8,15,0.438380,1812270,843.27,70.627,-1.697,"((1,2),(3,(4,5)))",49,0.326667,15,112,388.0,True,False,True
0.8,16,0.414216,1677795,815.37,72.806,1.667,"(1,(2,(3,(4,5))))",35,0.233333,13,127,633.1,True,False,True
0.8,17,0.429458,1281284,1091.73,79.233,-31.661,"(1,(((2,3),4),5))",27,0.180000,9,139,852.9,True,False,True
0.8,18,0.420416,1769761,791.64,71.316,4.529,"((1,2),(3,(4,5)))",50,0.333333,14,136,508.0,True,False,True
0.8,19,0.419756,1694985,829.10,72.528,0.012,"(1,(2,(3,(4,5))))",36,0.240000,19,46,577.6,True,False,True
0.9,0,0.349747,1661019,890.98,73.078,-7.450,"(1,(2,((3,4),5)))",65,0.433333,24,141,455.4,True,False,True
0.9,1,0.318229,1444796,891.16,76.583,-7.473,"(1,(2,(3,(4,5))))",63,0.420000,22,148,382.8,True,False,True
0.9,2,0.323040,1309729,1094.43,78.772,-31.986,"(1,((2,(3,4)),5))",31,0.206667,14,147,699.5,True,False,True
0.9,3,0.318196,1469364,861.17,76.184,-3.856,"((1,2),(3,(4,5)))",61,0.406667,24,125,329.6,True,False,True
0.9,4,0.341766,1658099,828.33,73.125,0.106,"(1,(2,(3,(4,5))))",51,0.340000,20,130,657.5,True,False,True
0.9,5,0.323730,1459125,919.44,76.350,-10.883,"(1,((2,3),(4,5)))",44,0.293333,13,142,429.3,True,False,True
0.9,6,0.342659,1622746,878.50,73.698,-5.945,"(1,(2,(3,(4,5))))",38,0.253333,16,79,585.9,True,False,True
0.9,7,0.363531,1751032,896.40,71.619,-8.104,"(1,((2,(3,4)),5))",33,0.220000,12,136,603.4,True,False,True
0.9,8,0.395360,1804941,1095.12,70.745,-32.069,"(1,((2,(3,4)),5))",35,0.233333,12,23,561.9,True,False,True
0.9,9,0.313893,1409763,897.58,77.150,-8.247,"(1,(2,(3,(4,5))))",61,0.406667,24,143,330.2,True,False,True
0.9,10,0.343397,1642821,860.33,73.373,-3.754,"(1,(2,(3,(4,5))))",50,0.333333,13,143,636.1,True,False,True
0.9,11,0.345568,1657992,859.99,73.127,-3.713,"(1,(2,(3,(4,5))))",42,0.280000,16,148,606.5,True,False,True
0.9,12,0.341558,1652735,833.09,73.212,-0.469,"(1,(2,(3,(4,5))))",41,0.273333,13,104,638.7,True,False,True
0.9,13,0.338958,1631967,836.65,73.549,-0.899,"(1,(2,(3,(4,5))))",47,0.313333,17,106,609.4,True,False,True
0.9,14,0.345434,1632434,889.79,73.541,-7.307,"(1,((2,3),(4,5)))",43,0.286667,14,139,568.4,True,False,True
0.9,15,0.354216,1752431,817.46,71.596,1.416,"((1,2),((3,4),5))",57,0.380000,17,130,391.9,True,False,True
0.9,16,0.349154,1728174,804.83,71.990,2.939,"((1,2),(3,(4,5)))",59,0.393333,22,134,483.2,True,False,True
0.9,17,0.319356,1465279,875.74,76.251,-5.612,"(((1,2),3),(4,5))",54,0.360000,17,121,335.7,True,False,True
0.9,18,0.313248,1414239,886.82,77.078,-6.949,"(1,(2,(3,(4,5))))",45,0.300000,11,120,327.6,True,False,True
0.9,19,0.343134,1636069,866.32,73.482,-4.476,"(1,(2,(3,(4,5))))",35,0.233333,17,109,568.9,True,False,True
1.0,0,0.264572,1632350,903.23,73.543,-8.928,"(1,(2,(3,(4,5))))",45,0.300000,10,115,596.0,True,False,True
1.0,1,0.255953,1579168,943.01,74.405,-13.725,"(1,(2,(3,(4,5))))",61,0.406667,14,129,428.9,True,False,True
1.0,2,0.264111,1629504,985.48,73.589,-18.848,"(1,(2,(3,(4,5))))",39,0.260000,12,99,545.2,True,False,True
